0 2 4 {'A': 63281501, 'B': 0, 'C': 0}
2 1 5 {'A': 63281501, 'B': 5, 'C': 0}
4 7 5 {'A': 63281501, 'B': 0, 'C': 0}
6 4 5 {'A': 63281501, 'B': 0, 'C': 63281501}
8 0 3 {'A': 63281501, 'B': 63281501, 'C': 63281501}
10 1 6 {'A': 7910187, 'B': 63281501, 'C': 63281501}
12 5 5 {'A': 7910187, 'B': 63281499, 'C': 63281501}
14 3 0 {'A': 7910187, 'B': 63281499, 'C': 63281501}
0 2 4 {'A': 7910187, 'B': 63281499, 'C': 63281501}
2 1 5 {'A': 7910187, 'B': 3, 'C': 63281501}
4 7 5 {'A': 7910187, 'B': 6, 'C': 63281501}
6 4 5 {'A': 7910187, 'B': 6, 'C': 123596}
8 0 3 {'A': 7910187, 'B': 123594, 'C': 123596}
10 1 6 {'A': 988773, 'B': 123594, 'C': 123596}
12 5 5 {'A': 988773, 'B': 123596, 'C': 123596}
14 3 0 {'A': 988773, 'B': 123596, 'C': 123596}
0 2 4 {'A': 988773, 'B': 123596, 'C': 123596}
2 1 5 {'A': 988773, 'B': 5, 'C': 123596}
4 7 5 {'A': 988773, 'B': 0, 'C': 123596}
6 4 5 {'A': 988773, 'B': 0, 'C': 988773}
8 0 3 {'A': 988773, 'B': 988773, 'C': 988773}
10 1 6 {'A': 123596, 'B': 988773, 'C': 988773}
12 5 5 {'A': 123596, 'B': 988771, 'C': 988773}
14 3 0 {'A': 123596, 'B': 988771, 'C': 988773}
0 2 4 {'A': 123596, 'B': 988771, 'C': 988773}
2 1 5 {'A': 123596, 'B': 4, 'C': 988773}
4 7 5 {'A': 123596, 'B': 1, 'C': 988773}
6 4 5 {'A': 123596, 'B': 1, 'C': 61798}
8 0 3 {'A': 123596, 'B': 61799, 'C': 61798}
10 1 6 {'A': 15449, 'B': 61799, 'C': 61798}
12 5 5 {'A': 15449, 'B': 61793, 'C': 61798}
14 3 0 {'A': 15449, 'B': 61793, 'C': 61798}
0 2 4 {'A': 15449, 'B': 61793, 'C': 61798}
2 1 5 {'A': 15449, 'B': 1, 'C': 61798}
4 7 5 {'A': 15449, 'B': 4, 'C': 61798}
6 4 5 {'A': 15449, 'B': 4, 'C': 965}
8 0 3 {'A': 15449, 'B': 961, 'C': 965}
10 1 6 {'A': 1931, 'B': 961, 'C': 965}
12 5 5 {'A': 1931, 'B': 967, 'C': 965}
14 3 0 {'A': 1931, 'B': 967, 'C': 965}
0 2 4 {'A': 1931, 'B': 967, 'C': 965}
2 1 5 {'A': 1931, 'B': 3, 'C': 965}
4 7 5 {'A': 1931, 'B': 6, 'C': 965}
6 4 5 {'A': 1931, 'B': 6, 'C': 30}
8 0 3 {'A': 1931, 'B': 24, 'C': 30}
10 1 6 {'A': 241, 'B': 24, 'C': 30}
12 5 5 {'A': 241, 'B': 30, 'C': 30}
14 3 0 {'A': 241, 'B': 30, 'C': 30}
0 2 4 {'A': 241, 'B': 30, 'C': 30}
2 1 5 {'A': 241, 'B': 1, 'C': 30}
4 7 5 {'A': 241, 'B': 4, 'C': 30}
6 4 5 {'A': 241, 'B': 4, 'C': 15}
8 0 3 {'A': 241, 'B': 11, 'C': 15}
10 1 6 {'A': 30, 'B': 11, 'C': 15}
12 5 5 {'A': 30, 'B': 13, 'C': 15}
14 3 0 {'A': 30, 'B': 13, 'C': 15}
0 2 4 {'A': 30, 'B': 13, 'C': 15}
2 1 5 {'A': 30, 'B': 6, 'C': 15}
4 7 5 {'A': 30, 'B': 3, 'C': 15}
6 4 5 {'A': 30, 'B': 3, 'C': 3}
8 0 3 {'A': 30, 'B': 0, 'C': 3}
10 1 6 {'A': 3, 'B': 0, 'C': 3}
12 5 5 {'A': 3, 'B': 6, 'C': 3}
14 3 0 {'A': 3, 'B': 6, 'C': 3}
0 2 4 {'A': 3, 'B': 6, 'C': 3}
2 1 5 {'A': 3, 'B': 3, 'C': 3}
4 7 5 {'A': 3, 'B': 6, 'C': 3}
6 4 5 {'A': 3, 'B': 6, 'C': 0}
8 0 3 {'A': 3, 'B': 6, 'C': 0}
10 1 6 {'A': 0, 'B': 6, 'C': 0}
12 5 5 {'A': 0, 'B': 0, 'C': 0}
14 3 0 {'A': 0, 'B': 0, 'C': 0}
{'A': 0, 'B': 0, 'C': 0}
Part 1: 3,4,3,1,7,6,5,6,0 (0.2079ms)
Part 2: 0 (0.0291ms)
